CV,Nmin,Tier
0.1,0.15,1. Standard
0.2,0.2,1. Standard
0.3,0.3,1. Standard
0.4,0.3,1. Standard
0.5,0.3,1. Standard
0.6,0.275,1. Standard
0.7,0.275,1. Standard
0.8,0.275,1. Standard
0.9,0.25,1. Standard
1,0.25,1. Standard
0.1,0.1,2. GAMMS Avg.
0.2,0.25,2. GAMMS Avg.
0.3,0.35,2. GAMMS Avg.
0.4,0.4,2. GAMMS Avg.
0.5,0.45,2. GAMMS Avg.
0.6,0.45,2. GAMMS Avg.
0.7,0.475,2. GAMMS Avg.
0.8,0.5,2. GAMMS Avg.
0.9,0.5,2. GAMMS Avg.
1,0.5,2. GAMMS Avg.
0.1,0.1,3. Moving Avg.
0.2,0.2,3. Moving Avg.
0.3,0.25,3. Moving Avg.
0.4,0.3,3. Moving Avg.
0.5,0.35,3. Moving Avg.
0.6,0.4,3. Moving Avg.
0.7,0.4,3. Moving Avg.
0.8,0.45,3. Moving Avg.
0.9,0.45,3. Moving Avg.
1,0.5,3. Moving Avg.
